wordform	weight
rückgabeplan	0.693147
schon.Warum	0.693147
veranstalten	0.693147
klar	0.693147
spielt	0.693147
etwas	2.079442
westprovinzen.Viele	0.693147
hammelfleisch	0.693147
langsam	1.098612
supermarkt	0.693147
scharf	0.693147
frage.Ich	0.693147
sucht	0.693147
früher	0.693147
jacken	0.693147
deutschwörterbuch	0.693147
gehen	1.609438
